Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR29828430,2024-07-15 13:29:22,2024-07-15 13:18:35,15974401,1277952080,0,80,515,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828430/SRR29828430.lite.1,SRX25327261,EE081,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP519912,PRJNA1135913,,1135913,SRS21996044,SAMN42493074,simple,1561046,honey metagenome,EE081,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,7AAAB774641521C9F89AD88051F13F9D,EB871D461AD90E39CE8A8C6689EA5518
SRR29828433,2024-07-15 13:29:21,2024-07-15 13:14:21,16781210,1342496800,0,80,403,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828433/SRR29828433.lite.1,SRX25327257,EE288,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996039,SAMN42493341,simple,1561046,honey metagenome,EE288,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,11A03F08C6E14F462040B5B62D1DC798,B38CB7F406E394DE73824C0267ABBCCA
SRR29828432,2024-07-15 13:29:21,2024-07-15 13:13:16,13795057,1103604560,0,80,331,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828432/SRR29828432.lite.1,SRX25327258,EE289,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996041,SAMN42493342,simple,1561046,honey metagenome,EE289,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,831103EEAADEB361CAC7249AC1CE27D5,24F10EA562EEE3EC5216F69B03668723
SRR29828405,2024-07-15 13:29:21,2024-07-15 13:13:08,14061843,1124947440,0,80,341,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828405/SRR29828405.lite.1,SRX25327259,EE290,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996040,SAMN42493343,simple,1561046,honey metagenome,EE290,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,C05978DBB6C963CE80B363273F7B2D09,A4482778A9079C73B1FF6FDED49A4891
SRR29828431,2024-07-15 13:29:21,2024-07-15 13:15:29,9001695,720135600,0,80,230,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828431/SRR29828431.lite.1,SRX25327260,IN499,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP519912,PRJNA1135913,,1135913,SRS21996042,SAMN42493383,simple,1561046,honey metagenome,IN499,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,DB47DFB0D3684F5BF8D48C827CEDEB92,A27397D0B57D231E42147C154AECEB01
SRR29828436,2024-07-15 13:29:21,2024-07-15 13:13:27,11293662,903492960,0,80,276,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828436/SRR29828436.lite.1,SRX25327252,EE282,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996034,SAMN42493336,simple,1561046,honey metagenome,EE282,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,E86C9FB614465D46D95EE33085A249B0,684C72DF2255BCA6C78DFF0A51DEEB34
SRR29828511,2024-07-15 13:29:21,2024-07-15 13:16:07,15004413,1200353040,0,80,362,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828511/SRR29828511.lite.1,SRX25327253,EE283,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996037,SAMN42493337,simple,1561046,honey metagenome,EE283,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,E5A2D19A639F7D044728F44B364B1F33,4C66DB8A72C320DBBB8D30786A69EDD7
SRR29828435,2024-07-15 13:29:21,2024-07-15 13:14:35,16076787,1286142960,0,80,385,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828435/SRR29828435.lite.1,SRX25327254,EE284,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996035,SAMN42493338,simple,1561046,honey metagenome,EE284,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,5832BB264FB82FA5727C88C4C34BD5C8,251BE5409A8A68D32EC59700945A0076
SRR29828434,2024-07-15 13:29:21,2024-07-15 13:13:36,8070066,645605280,0,80,196,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828434/SRR29828434.lite.1,SRX25327255,EE286,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996036,SAMN42493339,simple,1561046,honey metagenome,EE286,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,8059A91DED55EBA9BF16F7CE654F7F3B,09B776012A309265E259182E0C99325A
SRR29828477,2024-07-15 13:29:21,2024-07-15 13:15:34,20389878,1631190240,0,80,489,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828477/SRR29828477.lite.1,SRX25327256,EE287,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996038,SAMN42493340,simple,1561046,honey metagenome,EE287,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,F2D5ED25DBE1A01FC6503957B6B88E07,A085C6C77154B3BC6D23A33BEAF38E48
SRR29828437,2024-07-15 13:29:21,2024-07-15 13:15:58,13147472,1051797760,0,80,421,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828437/SRR29828437.lite.1,SRX25327251,EE018,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP519912,PRJNA1135913,,1135913,SRS21996033,SAMN42493057,simple,1561046,honey metagenome,EE018,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,AAE5ECA6048A37C525964068E0791CEF,8852C27F5C4D49CB230D68CE838E32B7
SRR29828581,2024-07-15 13:51:52,2024-07-15 13:51:01,14491372,1159309760,0,80,350,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828581/SRR29828581.lite.1,SRX25327247,EE278,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996029,SAMN42493332,simple,1561046,honey metagenome,EE278,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,BB5D8B884E93EB37CF97A8FC4FF404E8,3825C1A60B89B5E921AC85C80F44CFD5
SRR29828439,2024-07-15 13:29:20,2024-07-15 13:13:45,15321932,1225754560,0,80,370,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828439/SRR29828439.lite.1,SRX25327248,EE279,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996030,SAMN42493333,simple,1561046,honey metagenome,EE279,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,196D4672FC9B368684F9B6A5A49161BD,B835E9304E6FD70B0EED933DC6579C37
SRR29828438,2024-07-15 13:29:21,2024-07-15 13:15:08,13969693,1117575440,0,80,336,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828438/SRR29828438.lite.1,SRX25327249,EE280,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996032,SAMN42493334,simple,1561046,honey metagenome,EE280,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,9597AFCADDB85640A2781D05D1063BC6,578C37BE9A91FB3674C3E36157BD10AA
SRR29828578,2024-07-15 13:29:21,2024-07-15 13:15:47,13241019,1059281520,0,80,320,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828578/SRR29828578.lite.1,SRX25327250,EE281,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996031,SAMN42493335,simple,1561046,honey metagenome,EE281,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,7A85A4F87A2242BF3EC1F0977508F594,D554B8A464C7BC55DC1597B0C5947A45
SRR29828443,2024-07-15 13:29:20,2024-07-15 13:13:45,8919194,713535520,0,80,217,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828443/SRR29828443.lite.1,SRX25327242,EE166,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996024,SAMN42493309,simple,1561046,honey metagenome,EE166,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,0D685BCABCC58A775E8EEBA2BB054371,14CD999244001F5E46CD59DD788791F4
SRR29828442,2024-07-15 13:29:20,2024-07-15 13:14:30,13297493,1063799440,0,80,321,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828442/SRR29828442.lite.1,SRX25327243,EE169,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996025,SAMN42493310,simple,1561046,honey metagenome,EE169,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,072CDC0CE5147C264624C34E94BFC6E7,896BD7A6D869B703D1FA8AC915E4B565
SRR29828289,2024-07-15 13:29:20,2024-07-15 13:14:39,16493836,1319506880,0,80,397,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828289/SRR29828289.lite.1,SRX25327244,EE203,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996026,SAMN42493311,simple,1561046,honey metagenome,EE203,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,C7EBEB05FC4BC103786BB41984D979D0,567836F61D2F620B040E7C1B2C2F82FD
SRR29828441,2024-07-15 13:29:20,2024-07-15 13:15:24,18464876,1477190080,0,80,443,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828441/SRR29828441.lite.1,SRX25327245,EE266,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996028,SAMN42493330,simple,1561046,honey metagenome,EE266,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,390ECFD928B9894853CCD3FFBB62C91D,066653C2628D00063E377789275BC419
SRR29828440,2024-07-15 13:29:20,2024-07-15 13:13:50,16195075,1295606000,0,80,389,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828440/SRR29828440.lite.1,SRX25327246,EE267,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996027,SAMN42493331,simple,1561046,honey metagenome,EE267,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,1F42A00ECC0F9A57B49650CACDD62A41,E60BDAD07A66B562D1DA960D43656B05
SRR29828444,2024-07-15 13:29:20,2024-07-15 13:18:19,20789517,1663161360,0,80,678,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828444/SRR29828444.lite.1,SRX25327240,EE014,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP519912,PRJNA1135913,,1135913,SRS21996022,SAMN42493029,simple,1561046,honey metagenome,EE014,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,25D1204788B3E496167BDCEAF89EB3A1,4B317AE65D40CC272F7E030F0EE5B109
SRR29828292,2024-07-15 13:29:20,2024-07-15 13:13:45,10567780,845422400,0,80,255,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828292/SRR29828292.lite.1,SRX25327241,EE164,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996023,SAMN42493308,simple,1561046,honey metagenome,EE164,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,48424AE9150E6435067AC646E179E4D8,22CE31B3D2471A282E039A1AAEBD7A9F
SRR29828446,2024-07-15 13:29:20,2024-07-15 13:13:57,14492727,1159418160,0,80,348,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828446/SRR29828446.lite.1,SRX25327237,EE243,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996020,SAMN42493323,simple,1561046,honey metagenome,EE243,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,A4A93EE57728355E4CB457ABD205D8ED,4E18C6E747836B71C692C61B065BBA33
SRR29828408,2024-07-15 13:29:20,2024-07-15 13:13:07,16255140,1300411200,0,80,391,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828408/SRR29828408.lite.1,SRX25327238,EE244,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996019,SAMN42493324,simple,1561046,honey metagenome,EE244,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,174BD7C293126AA4D46638920B0ECAB5,7E3184A7463CE38F936D2980BE24B5EB
SRR29828445,2024-07-15 13:29:20,2024-07-15 13:14:20,16229010,1298320800,0,80,392,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828445/SRR29828445.lite.1,SRX25327239,EE245,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996021,SAMN42493325,simple,1561046,honey metagenome,EE245,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,69ECA68D7654CB4546336F9F374B9204,79FEE1C46570D7600F9F3203CD6CC6DC
SRR29828447,2024-07-15 13:29:20,2024-07-15 13:15:18,14658016,1172641280,0,80,352,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828447/SRR29828447.lite.1,SRX25327236,EE242,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP519912,PRJNA1135913,,1135913,SRS21996018,SAMN42493322,simple,1561046,honey metagenome,EE242,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,C88F0BF65A2C042A3527481A76C1AD1C,BBC9B91323598CA76B1C8E8DF76C0541
SRR29828451,2024-07-15 13:29:19,2024-07-15 13:15:02,11911533,952922640,0,80,436,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828451/SRR29828451.lite.1,SRX25327232,EE390,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP519912,PRJNA1135913,,1135913,SRS21996015,SAMN42493250,simple,1561046,honey metagenome,EE390,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,6E2796D6B46E16AE1693F70207E0E912,725E0AF251BF35F51F6F416ECB07A91A
SRR29828450,2024-07-15 13:29:19,2024-07-15 13:17:26,12929954,1034396320,0,80,471,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828450/SRR29828450.lite.1,SRX25327233,EE391,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP519912,PRJNA1135913,,1135913,SRS21996014,SAMN42493251,simple,1561046,honey metagenome,EE391,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,2D848120FE4F0037F74D14061967730D,1546EA6A64CB0BC78D78BB48F083C6E4
SRR29828449,2024-07-15 13:29:19,2024-07-15 13:16:55,12733987,1018718960,0,80,468,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828449/SRR29828449.lite.1,SRX25327234,EE392,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP519912,PRJNA1135913,,1135913,SRS21996017,SAMN42493252,simple,1561046,honey metagenome,EE392,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,19947C0BE1C6C9B81BFB66DD738F80A4,3DDA5BBF453E5920F0E258385523E44A
SRR29828448,2024-07-15 13:29:20,2024-07-15 13:18:05,13807573,1104605840,0,80,504,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828448/SRR29828448.lite.1,SRX25327235,EE393,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP519912,PRJNA1135913,,1135913,SRS21996016,SAMN42493253,simple,1561046,honey metagenome,EE393,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,F588D191D8E45D5D3EE866AEB55D226C,03EE7301DC4B31793C706881C8C67B2C
SRR29828452,2024-07-15 13:29:19,2024-07-15 13:18:45,11799002,943920160,0,80,430,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828452/SRR29828452.lite.1,SRX25327231,EE388,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP519912,PRJNA1135913,,1135913,SRS21996013,SAMN42493249,simple,1561046,honey metagenome,EE388,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,C85884DBDB8D2C05312CB8A406873365,DF4215DDD0E5CE186108A7F1A6B6B390
SRR29828456,2024-07-15 13:29:19,2024-07-15 13:16:29,16863119,1349049520,0,80,551,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828456/SRR29828456.lite.1,SRX25327227,EE389,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP519912,PRJNA1135913,,1135913,SRS21996009,SAMN42493266,simple,1561046,honey metagenome,EE389,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,5F5750D66A7EFB9D1F42C85DE434C375,1F05634082026DFC30606573E52EADB5
SRR29828455,2024-07-15 13:29:19,2024-07-15 13:18:40,15556579,1244526320,0,80,505,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29828/SRR29828455/SRR29828455.lite.1,SRX25327228,EE394,WGS,RANDOM,METAGENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP519912,PRJNA1135913,,1135913,SRS21996012,SAMN42493267,simple,1561046,honey metagenome,EE394,,,,,,,no,,,,,CELVIA CC AS,SRA1923792,,public,EF85FB8AED844976AF624EB89C5DDECB,7F80000E4F3EAF81168117CC7C828148
